,lab_id,drugA,drugB,ICxx,ICxxA,ICxxB,min_CI,Ca_min,Cb_min,Ca_range_lower,Ca_range_upper,Cb_range_lower,Cb_range_upper,equality_A,equality_B
0,10004,HESPERIDIN,TRAMETINIB,0.8,0.0,-3.094857727954052,1.6546855251798234,[0.64153999],[0.00081436],,,,,greater_than,equal_to
1,10004,AZD4547,TRAMETINIB,0.8,0.0,-3.0612486687570266,2.746795937103719,[0.05584114],[0.00233699],,,,,greater_than,equal_to
2,10004,NVP-ADW742,TRAMETINIB,0.8,0.0,-3.0612486687570266,2.4131702510882653,[0.00486054],[0.00209153],,,,,greater_than,equal_to
3,10004,GSK-690693,TRAMETINIB,0.8,0.0,-3.0612486687570266,1.493999398833181,[0.60691337],[0.0007704],,,,,greater_than,equal_to
4,10004,CRIZOTINIB,TRAMETINIB,0.8,0.0,-3.064849639385279,1.9491401673187654,[0.00411523],[0.00167523],,,,,greater_than,equal_to
5,10004,GEFITINIB,TRAMETINIB,0.8,-1.3004155022115225,-3.0612486687570266,0.8543372802349762,[0.03389073],[0.00015414],0.019458557957950134,0.03582432498414251,0.00012345679012345698,0.0004942433194504351,equal_to,equal_to
6,10004,FULVESTRANT,TRAMETINIB,0.8,0.0,-3.0612486687570266,1.7469238627603183,[0.02056874],[0.00149928],,,,,greater_than,equal_to
7,10004,MLN120B,TRAMETINIB,0.8,0.0,-3.0612486687570266,1.5498875378443853,[0.00486054],[0.0013418],,,,,greater_than,equal_to
8,10004,IXABEPOLONE,TRAMETINIB,0.8,0.0,-3.0720515806417845,,,,,,,,greater_than,equal_to
9,10004,I-BET762,TRAMETINIB,0.8,0.0,-3.0612486687570266,1.6443486763818205,[0.01117224],[0.00141835],,,,,greater_than,equal_to
10,10004,NILOTINIB,TRAMETINIB,0.8,0.0,-3.0612486687570266,1.5261627695725044,[0.14341806],[0.00120086],,,,,equal_to,equal_to
11,10004,GLESATINIB,TRAMETINIB,0.8,0.0,-3.0624489922997773,0.2321968098418391,[0.00999876],[0.00019244],0.004860543403178332,0.5138491035458981,0.00012345679012345698,0.0002034174841634107,greater_than,equal_to
12,10004,BGB324,TRAMETINIB,0.8,0.0,-3.0612486687570266,0.21397492127984333,[0.00435002],[0.00018205],0.0043500150495716025,0.574155684982074,0.00018205147944532494,0.0002402588411102082,greater_than,equal_to
13,10004,AXITINIB,TRAMETINIB,0.8,0.0,-3.0612486687570266,0.26583167202576236,[0.00411523],[0.00022729],0.00411522633744856,0.6415399935942269,0.0002150231955420096,0.00026845620346267523,greater_than,equal_to
14,10004,SGX-523,TRAMETINIB,0.8,0.0,-3.0612486687570266,0.2855968661393091,[0.00894854],[0.00024026],0.008948540115422496,0.8009619176928615,0.00017222539104977516,0.0002402588411102082,equal_to,equal_to
15,10004,GILTERITINIB,TRAMETINIB,0.8,0.0,-3.0612486687570266,0.322312116125045,[0.01319567],[0.00026846],0.00411522633744856,0.8009619176928615,0.00017222539104977516,0.00028377261162687887,greater_than,equal_to
