,lab_id,drugA,drugB,ICxx,ICxxA,ICxxB,min_CI,Ca_min,Cb_min,Ca_range_lower,Ca_range_upper,Cb_range_lower,Cb_range_upper,equality_A,equality_B
0,10004,HESPERIDIN,TRAMETINIB,0.5,0.0,-1.5548426226046455,0.5576928784795285,[0.0045982],[0.01541547],0.004598199316354362,0.6415399935942269,0.009355856679551347,0.025399791727552086,greater_than,equal_to
1,10004,AZD4547,TRAMETINIB,0.5,0.0,-1.6160591232849413,0.7996659049426558,[0.0045982],[0.0192462],0.004598199316354362,0.10867225459132512,0.019246199807826794,0.022731918451460855,greater_than,equal_to
2,10004,NVP-ADW742,TRAMETINIB,0.5,0.0,-1.6160591232849413,1.6862694453004892,[0.5138491],[0.02838077],,,,,greater_than,equal_to
3,10004,GSK-690693,TRAMETINIB,0.5,0.0,-1.6160591232849413,0.6086167022699651,[0.20007187],[0.00988964],0.008465549554438496,0.7577306150486957,0.0043025417912278,0.01820740099571985,greater_than,equal_to
4,10004,CRIZOTINIB,TRAMETINIB,0.5,0.0,-1.6076568584856852,0.7418577475940962,[0.00411523],[0.0182074],0.00411522633744856,0.021742261679575586,0.01820740099571985,0.024028857530785853,greater_than,equal_to
5,10004,GEFITINIB,TRAMETINIB,0.5,-0.65760460992568,-1.6148587997421906,0.32220877713564205,[0.03786823],[0.00364279],0.004860543403178332,0.21148670658645652,0.00017222539104977516,0.012347206901426426,equal_to,equal_to
6,10004,FULVESTRANT,TRAMETINIB,0.5,0.0,-1.6160591232849413,0.6887373683045627,[0.01558556],[0.01629498],0.0043500150495716025,0.20007187447559568,0.01629498222218846,0.02150498066010077,greater_than,equal_to
7,10004,MLN120B,TRAMETINIB,0.5,0.0,-1.6148587997421906,0.6391765403573405,[0.00411523],[0.01541547],0.00411522633744856,0.27910540023892977,0.015415473106376948,0.01722467054946223,greater_than,equal_to
8,10004,IXABEPOLONE,TRAMETINIB,0.5,-1.8520780051680434,-1.5944532995154255,0.3953703041301422,[0.00411523],[0.00261127],0.00411522633744856,0.013195669231796863,0.00035428976753885396,0.00291773514027685,equal_to,equal_to
9,10004,I-BET762,TRAMETINIB,0.5,0.0,-1.6148587997421906,1.0512393991814097,[0.00486054],[0.02539979],,,,,greater_than,equal_to
10,10004,NILOTINIB,TRAMETINIB,0.5,0.0,-1.6160591232849413,1.2252474997988865,[0.05282716],[0.02838077],,,,,greater_than,equal_to
11,10004,GLESATINIB,TRAMETINIB,0.5,0.0,-1.6160591232849413,0.2504905448863701,[0.08234429],[0.00407032],0.00411522633744856,0.9460257701531022,0.0010747297495242757,0.022731918451460855,greater_than,equal_to
12,10004,BGB324,TRAMETINIB,0.5,0.0,-1.6148587997421906,0.5137813091104235,[0.12835411],[0.00935586],0.00411522633744856,0.2950293840238201,0.009355856679551347,0.024028857530785853,greater_than,equal_to
13,10004,AXITINIB,TRAMETINIB,0.5,0.0,-1.6148587997421906,1.03963771889859,[0.36834383],[0.01629498],,,,,greater_than,equal_to
14,10004,SGX-523,TRAMETINIB,0.5,0.0,-1.6148587997421906,0.7139436705421284,[0.00435002],[0.01722467],0.00411522633744856,0.006780582805447014,0.01722467054946223,0.024028857530785853,greater_than,equal_to
15,10004,GILTERITINIB,TRAMETINIB,0.5,0.0,-1.6160591232849413,0.3500136775823026,[0.00411523],[0.00837316],0.00411522633744856,0.89496475779377,0.001978639316453216,0.022731918451460855,greater_than,equal_to
16,10004,GDC-0032,TRAMETINIB,0.5,-0.7406403153879937,-1.6148587997421906,0.04601213648039084,[0.00486054],[0.00046757],0.004860543403178332,0.05282715804429533,0.00012345679012345698,0.000467566916926124,equal_to,equal_to
17,10292,HESPERIDIN,TRAMETINIB,0.5,0.0,-2.3686619845897567,1.3499867841105133,[0.02298274],[0.00567819],,,,,greater_than,equal_to
18,10292,AZD4547,TRAMETINIB,0.5,0.0,-2.3686619845897567,0.9658520828313863,[0.06595464],[0.00385062],0.033890734633338436,0.09200842110610581,0.003850623272083762,0.004070315411662183,greater_than,equal_to
19,10292,NVP-ADW742,TRAMETINIB,0.5,0.0,-2.3686619845897567,1.4242618848988973,[0.09725784],[0.00567819],,,,,greater_than,equal_to
20,10292,GSK-690693,TRAMETINIB,0.5,0.0,-2.3686619845897567,0.6611264238856083,[0.32965475],[0.00141835],0.06971759751438891,0.8009619176928615,0.0005522489183471572,0.003850623272083762,greater_than,equal_to
21,10292,CRIZOTINIB,TRAMETINIB,0.5,0.0,-2.3686619845897567,1.4138867223525415,[0.01117224],[0.00600216],,,,,greater_than,equal_to
22,10292,GEFITINIB,TRAMETINIB,0.5,0.0,-2.3698623081325074,0.873719254518033,[0.43505534],[0.00187184],0.004598199316354362,0.6781421963699804,0.0013417988118835805,0.004070315411662183,greater_than,equal_to
23,10292,FULVESTRANT,TRAMETINIB,0.5,0.0,-2.37346327876076,1.1515963169959442,[0.01558556],[0.0048075],,,,,greater_than,equal_to
24,10292,MLN120B,TRAMETINIB,0.5,0.0,-2.3686619845897567,0.8564640229206715,[0.00513786],[0.00364279],0.005137855179559971,0.011809658917961789,0.003642788846542499,0.004070315411662183,greater_than,equal_to
25,10292,IXABEPOLONE,TRAMETINIB,0.5,0.0,-2.3686619845897567,0.28232476673514634,[0.09200842],[0.00081436],0.00411522633744856,0.7577306150486957,0.00012345679012345698,0.00221085724239117,equal_to,equal_to
26,10292,I-BET762,TRAMETINIB,0.5,0.0,-2.3686619845897567,1.3318645902928474,[0.00486054],[0.00567819],,,,,greater_than,equal_to
