,lab_id,drugA,drugB,ICxx,min_CI,Ca_min,Cb_min,Ca_range_lower,Ca_range_upper,Cb_range_lower,Cb_range_upper
40,10292,RUXOLITINIB,TRAMETINIB,0.75,41155.0353136281,[0.00411523],[0.00113605],,,,
41,10292,AZ960,TRAMETINIB,0.75,2.1562243116730544,[1.],[0.00072882],,,,
42,10292,FEDRATINIB,TRAMETINIB,0.75,2.4641485415964186,[0.00411523],[0.00107473],,,,
43,10292,LAPATINIB,TRAMETINIB,0.75,2.469648335052229,[0.00411523],[0.00086082],,,,
44,10292,THALIDOMIDE,TRAMETINIB,0.75,1.9836561799613477,[1.],[0.00086082],,,,
45,10292,STEVIOSIDE,TRAMETINIB,0.75,2.5099526346990286,[0.80096192],[0.00101672],,,,
46,10326,HESPERIDIN,TRAMETINIB,0.75,0.0173180585759476,[0.00435002],[0.02684894],0.00411522633744856,1.0,0.01722467054946223,0.029999999999999995
47,10326,AZD4547,TRAMETINIB,0.75,0.011222980040886087,[0.00641461],[0.02838077],0.00411522633744856,1.0,0.028380773104593048,0.029999999999999995
48,10326,NVP-ADW742,TRAMETINIB,0.75,0.024689775642999266,[0.00486054],[0.02684894],0.00411522633744856,1.0,0.003850623272083762,0.029999999999999995
49,10326,GSK-690693,TRAMETINIB,0.75,0.020166678952666856,[0.00411523],[0.02838077],0.00411522633744856,0.9460257701531022,0.00026845620346267523,0.029999999999999995
50,10326,CRIZOTINIB,TRAMETINIB,0.75,0.18753787952612072,[0.01647478],[0.0182074],0.00411522633744856,1.0,0.01820740099571985,0.029999999999999995
51,10326,GEFITINIB,TRAMETINIB,0.75,0.0740966733311206,[0.00411523],[0.03],0.00411522633744856,0.09200842110610581,0.00012345679012345698,0.029999999999999995
52,10326,FULVESTRANT,TRAMETINIB,0.75,0.000711522633744856,[0.00411523],[0.03],0.00411522633744856,1.0,0.028380773104593048,0.029999999999999995
53,10326,MLN120B,TRAMETINIB,0.75,0.01959590312902482,[0.0045982],[0.02838077],0.00411522633744856,1.0,0.028380773104593048,0.029999999999999995
54,10326,IXABEPOLONE,TRAMETINIB,0.75,0.5054398903915114,[0.00411523],[0.02402886],0.00411522633744856,0.008008628037006929,0.024028857530785853,0.029999999999999995
55,10326,I-BET762,TRAMETINIB,0.75,0.012813382943219239,[0.00435002],[0.02838077],0.00411522633744856,1.0,0.028380773104593048,0.029999999999999995
56,10326,NILOTINIB,TRAMETINIB,0.75,0.2903894316393346,[0.07789982],[0.02402886],0.00411522633744856,1.0,0.024028857530785853,0.029999999999999995
57,10326,GLESATINIB,TRAMETINIB,0.75,0.015536929694588343,[0.00411523],[0.02684894],0.00411522633744856,0.7168326886700261,0.0003351672501933079,0.029999999999999995
58,10326,BGB324,TRAMETINIB,0.75,0.10072749949016821,[0.00411523],[0.00600216],0.00411522633744856,0.042312541813422685,0.0026112701231242427,0.00600215623426787
59,10326,AXITINIB,TRAMETINIB,0.75,0.005172077313157572,[0.43505534],[0.00149928],0.00411522633744856,1.0,0.00026845620346267523,0.029999999999999995
60,10326,SGX-523,TRAMETINIB,0.75,0.017372574121545394,[0.0045982],[0.02684894],0.00411522633744856,1.0,0.02684894273381311,0.029999999999999995
61,10326,GILTERITINIB,TRAMETINIB,0.75,0.016723683809442384,[0.00846555],[0.02838077],0.00411522633744856,1.0,0.00025396648663315527,0.029999999999999995
62,10326,GDC-0032,TRAMETINIB,0.75,0.15523579016300726,[0.00411523],[0.0007704],0.00411522633744856,0.025680047198171654,0.00012345679012345698,0.0007704014159451503
63,10326,RUXOLITINIB,TRAMETINIB,0.75,0.000711522633744856,[0.00411523],[0.03],0.00411522633744856,1.0,0.028380773104593048,0.029999999999999995
64,10326,AZ960,TRAMETINIB,0.75,0.01141579374376898,[0.00486054],[0.02838077],0.00411522633744856,1.0,0.028380773104593048,0.029999999999999995
65,10326,FEDRATINIB,TRAMETINIB,0.75,0.1127055639691109,[0.01117224],[0.02838077],0.00411522633744856,1.0,0.028380773104593048,0.029999999999999995
66,10326,LAPATINIB,TRAMETINIB,0.75,11.162865742510736,[0.00411523],[0.03],,,,
67,10326,THALIDOMIDE,TRAMETINIB,0.75,0.021938205390555614,[0.00411523],[0.03],0.00411522633744856,1.0,0.02684894273381311,0.029999999999999995
68,10326,STEVIOSIDE,TRAMETINIB,0.75,0.011727650113995859,[0.00411523],[0.03],0.00411522633744856,1.0,0.029999999999999995,0.029999999999999995
69,10336,HESPERIDIN,TRAMETINIB,0.75,4.253172316939191e-05,[0.00411523],[0.00013795],0.00411522633744856,1.0,0.00012345679012345698,0.029999999999999995
70,10336,AZD4547,TRAMETINIB,0.75,0.0032495999442041608,[0.00411523],[0.02838077],0.00411522633744856,1.0,0.0007288195928465512,0.029999999999999995
71,10336,NVP-ADW742,TRAMETINIB,0.75,0.0012114699961589736,[0.00678058],[0.00600216],0.00411522633744856,1.0,0.0034461721240554985,0.01305166020945517
72,10336,GSK-690693,TRAMETINIB,0.75,0.0004238683127572017,[0.00411523],[0.00012346],0.00411522633744856,1.0,0.00012345679012345698,0.029999999999999995
73,10336,CRIZOTINIB,TRAMETINIB,0.75,0.0004245726788935708,[0.00411523],[0.0001305],0.00411522633744856,1.0,0.00012345679012345698,0.0017708124566107831
74,10336,GEFITINIB,TRAMETINIB,0.75,5.34979423868313e-05,[0.00411523],[0.00012346],0.00411522633744856,1.0,0.00012345679012345698,0.001200862648685357
75,10336,FULVESTRANT,TRAMETINIB,0.75,0.007612010938581416,[0.03786823],[0.00344617],0.00411522633744856,1.0,0.0014183533411213799,0.029999999999999995
76,10336,MLN120B,TRAMETINIB,0.75,0.0011346130443257952,[0.04727844],[0.00072882],0.00411522633744856,1.0,0.000522441708295587,0.029999999999999995
77,10336,IXABEPOLONE,TRAMETINIB,0.75,41152.26350866548,[0.00411523],[0.0013418],,,,
